URL,UUID4,ToposText_ID,Place_Name,Place_Type,Reference,Book,Chapter,Paragraph,Lat,Long,Text
https://topostext.org/work/732,5b2cf9d6-1260-4227-9e3f-2d1fea97de99,https://topostext.org/place/329351UPto,Ptolemais,['place'],urn:cts:greekLit:tlg2018.tlg002:5.25.1,5,25,1,32.9278,35.0817,"§ 5.25.1  Those in Palestine whom we have recently mentioned, Narcissus and Theophilus, and with them Cassius, bishop of the church of Tyre, and Clarus of the church of Ptolemais, and those who met with them, having stated many things respecting the tradition concerning the passover which had come to them in succession from the apostles, at the close of their writing add these words: "
https://topostext.org/work/732,76d8a825-c2f5-499c-ba45-6f49d33abc9f,https://topostext.org/place/312299PAle,Alexandria,['place'],urn:cts:greekLit:tlg2018.tlg002:5.25.2,5,25,2,31.182,29.897,"§ 5.25.2  Endeavor to send copies of our letter to every church, that we may not furnish occasion to those who easily deceive their souls. We show you indeed that also in Alexandria they keep it on the same day that we do. For letters are carried from us to them and from them to us, so that in the same manner and at the same time we keep the sacred day. "
https://topostext.org/work/732,ba6c9610-b4ac-4914-8084-d6090c36cc5d,https://topostext.org/place/375385USam,Samosata,['place'],urn:cts:greekLit:tlg2018.tlg002:5.28.1,5,28,1,37.526,38.53,"§ 5.28.1  In a laborious work by one of these writers against the heresy of Artemon, which Paul of Samosata attempted to revive again in our day, there is an account appropriate to the history which we are now examining. "
https://topostext.org/work/732,66242c3a-251c-4a76-b6b8-213b7bc8eed4,https://topostext.org/place/419125PRom,Rome,['place'],urn:cts:greekLit:tlg2018.tlg002:5.28.3,5,28,3,41.891,12.486,"§ 5.28.3  For they say that all the early teachers and the apostles received and taught what they now declare, and that the truth of the Gospel was preserved until the times of Victor, who was the thirteenth bishop of Rome from Peter, but that from his successor, Zephyrinus, the truth had been corrupted. "
https://topostext.org/work/732,0acc52fb-d3fc-4b5a-b868-fc5965c61104,https://topostext.org/place/312299PAle,Alexandria,['place'],urn:cts:greekLit:tlg2018.tlg002:6.1.1,6,1,1,31.182,29.897,"§ 6.1.1  BOOK VI When Severus began to persecute the churches, glorious testimonies were given everywhere by the athletes of religion. This was especially the case in Alexandria, to which city, as to a most prominent theater, athletes of God were brought from Egypt and all Thebais according to their merit, and won crowns from God through their great patience under many tortures and every mode of death. Among these was Leonides, who was called the father of Origen, and who was beheaded while his son was still young. How remarkable the predilection of this son was for the Divine Word, in consequence of his father's instruction, it will not be amiss to state briefly, as his fame has been very greatly celebrated by many. "
https://topostext.org/work/732,ff45f526-ac2e-4112-856e-3897940e0378,https://topostext.org/place/271307REgy,Egypt,['place'],urn:cts:greekLit:tlg2018.tlg002:6.1.1,6,1,1,27.1,30.7,"§ 6.1.1  BOOK VI When Severus began to persecute the churches, glorious testimonies were given everywhere by the athletes of religion. This was especially the case in Alexandria, to which city, as to a most prominent theater, athletes of God were brought from Egypt and all Thebais according to their merit, and won crowns from God through their great patience under many tortures and every mode of death. Among these was Leonides, who was called the father of Origen, and who was beheaded while his son was still young. How remarkable the predilection of this son was for the Divine Word, in consequence of his father's instruction, it will not be amiss to state briefly, as his fame has been very greatly celebrated by many. "
https://topostext.org/work/732,e2351f9a-ff6e-4a77-889b-d334a1ed9e81,https://topostext.org/place/262327UThe,Thebais,['place'],urn:cts:greekLit:tlg2018.tlg002:6.1.1,6,1,1,26.25,32.75,"§ 6.1.1  BOOK VI When Severus began to persecute the churches, glorious testimonies were given everywhere by the athletes of religion. This was especially the case in Alexandria, to which city, as to a most prominent theater, athletes of God were brought from Egypt and all Thebais according to their merit, and won crowns from God through their great patience under many tortures and every mode of death. Among these was Leonides, who was called the father of Origen, and who was beheaded while his son was still young. How remarkable the predilection of this son was for the Divine Word, in consequence of his father's instruction, it will not be amiss to state briefly, as his fame has been very greatly celebrated by many. "
https://topostext.org/work/732,cf16456b-238c-4a4b-9f7b-bf2c84d847c8,https://topostext.org/place/312299PAle,Alexandria,['place'],urn:cts:greekLit:tlg2018.tlg002:6.2.2,6,2,2,31.182,29.897,"§ 6.2.2  What they report of Origen seems to me worthy of mention, even, so to speak, from his swathing-bands. It was the tenth year of the reign of Severus, while Laetus was governor of Alexandria and the rest of Egypt, and Demetrius had lately received the episcopate of the parishes there, as successor of Julian. "
https://topostext.org/work/732,368899c6-718e-40e7-9c71-2d70e6dedaf3,https://topostext.org/place/271307REgy,Egypt,['place'],urn:cts:greekLit:tlg2018.tlg002:6.2.2,6,2,2,27.1,30.7,"§ 6.2.2  What they report of Origen seems to me worthy of mention, even, so to speak, from his swathing-bands. It was the tenth year of the reign of Severus, while Laetus was governor of Alexandria and the rest of Egypt, and Demetrius had lately received the episcopate of the parishes there, as successor of Julian. "
https://topostext.org/work/732,9f90eb74-0869-4305-a39b-ef2e31b52364,https://topostext.org/place/312299PAle,Alexandria,['place'],urn:cts:greekLit:tlg2018.tlg002:6.2.13,6,2,13,31.182,29.897,"§ 6.2.13  And the property of his father being confiscated to the royal treasury, he and his family were in want of the necessaries of life. But he was deemed worthy of Divine care. And he found welcome and rest with a woman of great wealth, and distinguished in her manner of life and in other respects. She was treating with great honor a famous heretic then in Alexandria; who, however, was born in Antioch. He was with her as an adopted son, and she treated him with the greatest kindness. "
https://topostext.org/work/732,036d7f51-1364-4b68-a014-c9eece9f84c5,https://topostext.org/place/362362PAnt,Antioch,['place'],urn:cts:greekLit:tlg2018.tlg002:6.2.13,6,2,13,36.2,36.165,"§ 6.2.13  And the property of his father being confiscated to the royal treasury, he and his family were in want of the necessaries of life. But he was deemed worthy of Divine care. And he found welcome and rest with a woman of great wealth, and distinguished in her manner of life and in other respects. She was treating with great honor a famous heretic then in Alexandria; who, however, was born in Antioch. He was with her as an adopted son, and she treated him with the greatest kindness. "
https://topostext.org/work/732,6cdb6154-a9f5-4c6e-9e16-afb0dd70e35a,https://topostext.org/place/312299PAle,Alexandria,['place'],urn:cts:greekLit:tlg2018.tlg002:6.3.1,6,3,1,31.182,29.897,"§ 6.3.1  But while he was lecturing in the school, as he tells us himself, and there was no one at Alexandria to give instruction in the faith, as all were driven away by the threat of persecution, some of the heathen came to him to hear the word of God. "
https://topostext.org/work/732,005eddc6-5a81-49fd-9b2b-29ff74079d5a,https://topostext.org/place/312299PAle,Alexandria,['place'],urn:cts:greekLit:tlg2018.tlg002:6.3.2,6,3,2,31.182,29.897,"§ 6.3.2  The first of them, he says, was Plutarch, who after living well, was honored with divine martyrdom. The second was Heraclas, a brother of Plutarch; who after he too had given with him abundant evidence of a philosophic and ascetic life, was esteemed worthy to succeed Demetrius in the bishopric of Alexandria. "
https://topostext.org/work/732,cc510a43-c5d9-4271-a58a-a4ea07de611d,https://topostext.org/place/312299PAle,Alexandria,['place'],urn:cts:greekLit:tlg2018.tlg002:6.3.3,6,3,3,31.182,29.897,"§ 6.3.3  He was in his eighteenth year when he took charge of the catechetical school. He was prominent also at this time, during the persecution under Aquila, the governor of Alexandria, when his name became celebrated among the leaders in the faith, through the kindness and goodwill which he manifested toward all the holy martyrs, whether known to him or strangers. "
https://topostext.org/work/732,64607203-e705-434c-a227-fa370d8643d4,https://topostext.org/place/312299PAle,Alexandria,['place'],urn:cts:greekLit:tlg2018.tlg002:6.5.6,6,5,6,31.182,29.897,"§ 6.5.6  Thereupon the brethren gave him the seal of the Lord; and on the next day, after giving glorious testimony for the Lord, he was beheaded. And many others in Alexandria are recorded to have accepted speedily the word of Christ in those times. "
https://topostext.org/work/732,179aaeb7-cff7-4020-98fe-9c3ab605cb08,https://topostext.org/place/312299PAle,Alexandria,['place'],urn:cts:greekLit:tlg2018.tlg002:6.6.1,6,6,1,31.182,29.897,"§ 6.6.1  Clement having succeeded Pantaenus, had charge at that time of the catechetical instruction in Alexandria, so that Origen also, while still a boy, was one of his pupils. In the first book of the work called Stromata, which Clement wrote, he gives a chronological table, bringing events down to the death of Commodus. So it is evident that that work was written during the reign of Severus, whose times we are now recording. "
https://topostext.org/work/732,33189cd6-159b-41fd-9202-5b45d3d2e7d3,https://topostext.org/place/312299PAle,Alexandria,['place'],urn:cts:greekLit:tlg2018.tlg002:6.8.1,6,8,1,31.182,29.897,"§ 6.8.1  At this time while Origen was conducting catechetical instruction at Alexandria, a deed was done by him which evidenced an immature and youthful mind, but at the same time gave the highest proof of faith and continence. For he took the words, There are eunuchs who have made themselves eunuchs for the kingdom of heaven's sake, in too literal and extreme a sense. And in order to fulfill the Saviour's word, and at the same time to take away from the unbelievers all opportunity for scandal, — for, although young, he met for the study of divine things with women as well as men, — he carried out in action the word of the Saviour. "
https://topostext.org/work/732,9cc5d82d-5db8-4676-a906-56215b5b60d6,https://topostext.org/place/325349UCae,Caesarea,['place'],urn:cts:greekLit:tlg2018.tlg002:6.8.4,6,8,4,32.5026,34.8914,"§ 6.8.4  Such was he at that time. But soon afterward, seeing that he was prospering, and becoming great and distinguished among all men, the same Demetrius, overcome by human weakness, wrote of his deed as most foolish to the bishops throughout the world. But the bishops of Caesarea and Jerusalem, who were especially notable and distinguished among the bishops of Palestine, considering Origen worthy in the highest degree of the honor, ordained him a presbyter. "
https://topostext.org/work/732,c4174955-fc8b-4577-96c5-1317d9d0c080,https://topostext.org/place/318352PJer,Jerusalem,['place'],urn:cts:greekLit:tlg2018.tlg002:6.8.4,6,8,4,31.7751,35.2341,"§ 6.8.4  Such was he at that time. But soon afterward, seeing that he was prospering, and becoming great and distinguished among all men, the same Demetrius, overcome by human weakness, wrote of his deed as most foolish to the bishops throughout the world. But the bishops of Caesarea and Jerusalem, who were especially notable and distinguished among the bishops of Palestine, considering Origen worthy in the highest degree of the honor, ordained him a presbyter. "
https://topostext.org/work/732,f21b01ad-6520-4c66-ae5d-3e705f99fe49,https://topostext.org/place/320350RPal,Palestine,['place'],urn:cts:greekLit:tlg2018.tlg002:6.8.4,6,8,4,32.0206,35.0001,"§ 6.8.4  Such was he at that time. But soon afterward, seeing that he was prospering, and becoming great and distinguished among all men, the same Demetrius, overcome by human weakness, wrote of his deed as most foolish to the bishops throughout the world. But the bishops of Caesarea and Jerusalem, who were especially notable and distinguished among the bishops of Palestine, considering Origen worthy in the highest degree of the honor, ordained him a presbyter. "
https://topostext.org/work/732,97a301d0-c876-4afb-a5b3-ba5049d7fc52,https://topostext.org/place/312299PAle,Alexandria,['place'],urn:cts:greekLit:tlg2018.tlg002:6.8.6,6,8,6,31.182,29.897,"§ 6.8.6  These things, however, took place a little later. But at this time Origen continued fearlessly the instruction in divine things at Alexandria by day and night to all who came to him; devoting his entire leisure without cessation to divine studies and to his pupils. "
https://topostext.org/work/732,6733bee7-6740-44df-ae1a-5b5a7828827f,https://topostext.org/place/318352PJer,Jerusalem,['place'],urn:cts:greekLit:tlg2018.tlg002:6.8.7,6,8,7,31.7751,35.2341,"§ 6.8.7  Severus, having held the government for eighteen years, was succeeded by his son, Antoninus. Among those who had endured courageously the persecution of that time, and had been preserved by the Providence of God through the conflicts of confession, was Alexander, of whom we have spoken already as bishop of the church in Jerusalem. On account of his pre-eminence in the confession of Christ he was thought worthy of that bishopric, while Narcissus, his predecessor, was still living. "
https://topostext.org/work/732,ddf447af-2b24-4d71-8927-0dbc34493861,https://topostext.org/place/388350RCap,Cappadocia,['place'],urn:cts:greekLit:tlg2018.tlg002:6.11.2,6,11,2,38.8,35,"§ 6.11.2  Thereupon, as by Divine direction, he journeyed from the land of Cappadocia, where he first held the episcopate, to Jerusalem, in consequence of a vow and for the sake of information in regard to its places. They received him there with great cordiality, and would not permit him to return, because of another revelation seen by them at night, which uttered the clearest message to the most zealous among them. For it made known that if they would go outside the gates, they would receive the bishop foreordained for them by God. And having done this, with the unanimous consent of the bishops of the neighboring churches, they constrained him to remain. "
https://topostext.org/work/732,8793c26c-25c1-4064-a8d1-d6d8f90b4c41,https://topostext.org/place/318352PJer,Jerusalem,['place'],urn:cts:greekLit:tlg2018.tlg002:6.11.2,6,11,2,31.7751,35.2341,"§ 6.11.2  Thereupon, as by Divine direction, he journeyed from the land of Cappadocia, where he first held the episcopate, to Jerusalem, in consequence of a vow and for the sake of information in regard to its places. They received him there with great cordiality, and would not permit him to return, because of another revelation seen by them at night, which uttered the clearest message to the most zealous among them. For it made known that if they would go outside the gates, they would receive the bishop foreordained for them by God. And having done this, with the unanimous consent of the bishops of the neighboring churches, they constrained him to remain. "
