Object ID,Name,place type,Analysis,Information,Entity type,Pleiades,[Location] Long,[Location] Lat,In - Object ID,In - Name,Pleiades,In - [Location] Geometry,Near - Object ID,Near - Name,Pleiades,Near - [Location] Geometry,Alt. name for - Object ID,Name,Pleiades,Alt. name for - [Location] Geometry
10113564,🌍 Lycosoura (Arcadia) city on Mount Lycaion in Arcadia,city,4,city on Mount Lycaion in Arcadia,Place,570444,22.02996575,37.38927255,10113585,🌍 Mount Lycaion (Arcadia) mountain in Arcadia,570441,"21.975, 37.456944",,,,,,,,
10214639,🌍 the Sanctuary of Despoina at Lycosoura (Arcadia),sanctuary,1,,Place,,22.02996575,37.38927255,10113564,🌍 Lycosoura (Arcadia) city on Mount Lycaion in Arcadia,570444,"22.02996575, 37.38927255",,,,,,,,
10186749,🌍 the Oracle of Apollo at Delphi,oracle,122,,Place,,22.501169,38.482289,8253972,"🌍 Delphi (Phocis) city and sanctuary in Phocis; for prophecies see ""the Oracle of Apollo (Delphi)""",540726,"22.501169, 38.482289",,,,,,,,
11321878,🏛️ the Temple of Athena Alea in Tegea (Arcadia),temple,3,,Landmark,,,,9614063,🌍 the Sanctuary of Athena Alea at Tegea,,,,,,,,,,
10769645,🌍 the Sanctuary of the Great Goddesses at Megalopolis (Arcadia),sanctuary,-,,Place,,22.1273485,37.4124175,10214482,🌍 Megalopolis (Arcadia) Arcadian city founded in the 4th century BCE,570467,"22.1273485, 37.4124175",,,,,,,,
11321876,🏛️ the Tomb of Epaminondas historical landmark constructed near Mantineia,tomb,-,historical landmark constructed near Mantineia,Landmark,,22.3925775,37.6173785,,,,,9364225,🌍 Mantineia (Arcadia) city in Arcadia,570459,"22.3925775, 37.6173785",,,,
11308487,"🌍 the Sanctuary of the Daughters of Ion (Pisatis) located on the Cytheros River, near Salmone",sanctuary,2,"located on the Cytheros River, near Salmone",Place,,21.56999,37.69636,,,,,9366138,🌍 Salmone (Elis) city in Elis,570652,"21.56999, 37.69636",,,,
11304196,🌍 the Sanctuary of Aphrodite at Eryx (Sicily),sanctuary,2,,Place,,12.583607,38.036517,9603207,🌍 Eryx (Sicily) city in Sicily,462201,"12.583607, 38.036517",,,,,,,,
10214526,🌍 the Sanctuary of Hermes near Phaidrias (Arcadia/Messenia) on the border of Arcadia and Messenia,sanctuary,1,on the border of Arcadia and Messenia,Place,,,,,,,,10214525,🌍 Phaidrias (Arcadia) city in Arcadia,573442,,,,,
10151508,🌍 the Sanctuary of Apollo Lycios at Athens,sanctuary,5,,Place,122572945,23.743379697193,37.974030982903,8188815,🌍 Athens (Attica) city in Attica,579885,"23.726268222012, 37.972453602957",,,,,,,,
10126182,🏛️ the Temple of Messene in the Agora of Messene,temple,-,,Landmark,,,,11321592,🌍 the Agora of Messene,,,,,,,,,,
10187156,🏛️ the Temple of Apollo at Argos,temple,2,,Landmark,,,,10187153,🌍 Larisa (Argos) the citadel of Argos,,,,,,,,,,
10525466,🏛️ the Temple of Hermes on Mount Cyllene (Arcadia),temple,1,,Landmark,,22.3969314,37.9397231,9613774,🌍 Mount Cyllene (Arcadia) mountain in Arcadia,570391,"22.3969314, 37.9397231",,,,,,,,
8254000,"🌍 Gadeira (Iberia) city on Atlantic coast, modern Cadiz in Spain",city,13,"city on Atlantic coast, modern Cadiz in Spain",Place,256177,-6.2931206666667,36.529277666667,11304371,"🌍 Erytheia (Iberia) island on Spain's Atlantic coast, at times connected to the mainland",255978,"-6.4923726184535, 36.505808418598",,,,,,,,
