Object ID,Name,place type,Analysis,Information,Entity type,Pleiades,[Location] Long,[Location] Lat,In - Object ID,In - Name,Pleiades,In - [Location] Geometry,Near - Object ID,Near - Name,Pleiades,Near - [Location] Geometry,Alt. name for - Object ID,Name,Pleiades,Alt. name for - [Location] Geometry
8188232,🌍 the Elysian Fields place of happy afterlife for heroes,afterlife realm,13,place of happy afterlife for heroes,Place,,,,,,,,,,,,,,,
9055629,🌍 Mount Parnassos (Phocis) mountain in Phocis,mountain,48,mountain in Phocis,Place,541012,22.621902,38.535435,,,,,,,,,,,,
9055222,"🌍 Lake Triton (Libya) unlocatable river and lake somewhere in Libya, associated with Athena",lake,19,"unlocatable river and lake somewhere in Libya, associated with Athena",Place,,26.5,31.5,,,,,8253951,🌍 Libya (region) region in North Africa,716588,"26.5, 31.5",,,,
9051568,🌍 the Islands of Aiolos (unlocatable) unlocatable islands visited by Odysseus,islands,20,unlocatable islands visited by Odysseus,Place,,,,,,,,,,,,,,,
8254037,"🌍 Naupactos (Ozolian Locris) city in Ozolian Locris, or Aitolia",city,11,"city in Ozolian Locris, or Aitolia",Place,540960,21.831267,38.399726,,,,,,,,,,,,
8254033,🌍 Trachis (Thessaly) city in Thessaly,city,18,city in Thessaly,Place,541157,22.447577,38.792037,,,,,,,,,,,,
8254024,🌍 Gerenia (Messenia) city in Messenia,city,18,city in Messenia,Place,570261,22.208656,36.927195,,,,,,,,,,,,
8254017,"🌍 Oichalia (unlocatable) unlocatable city ruled by Eurytos and destroyed by Heracles, identified variously",city,37,"unlocatable city ruled by Eurytos and destroyed by Heracles, identified variously",Place,,,,,,,,,,,,,,,
8253999,"🌍 Erytheia (unlocatable) unlocatable location, kingdom of Geryon, sometimes identified on the Atlantic coast of Spain",region,21,"unlocatable location, kingdom of Geryon, sometimes identified on the Atlantic coast of Spain",Place,,,,,,,,,,,,,,,
8253969,🌍 Orchomenos (Boiotia) city in Boiotia,city,58,city in Boiotia,Place,540987,22.978315,38.494575333333,,,,,,,,,,,,
8253947,🌍 River Nile (Egypt) river in Egypt,river,25,river in Egypt,Place,727172,30.567329633333,19.211408766667,,,,,,,,,,,,
8228939,"🌍 the Land of the Ethiopians region in Upper Egypt and south of Sub-Saharan Africa, often amorphous or treated as somewhat fictional",region,68,"region in Upper Egypt and south of Sub-Saharan Africa, often amorphous or treated as somewhat fictional",Place,334481,3.5,32.5,,,,,,,,,,,,
8195196,🌍 Boiotia region on the Greek mainland,region,63,region on the Greek mainland,Place,540689,23.188078743333,38.345194763333,,,,,,,,,,,,
8195109,🏛️ the Walls of Troy on the Citadel of Troy,walls,57,on the Citadel of Troy,Landmark,,,,8195108,🌍 the Citadel of Troy at Troy,,,,,,,,,,
8194746,🌍 Mysia (Asia Minor) region in Asia Minor,region,45,region in Asia Minor,Place,550759,27.750000000000004,40.25,,,,,,,,,,,,
8194712,🌍 Cyprus (island) island in the Aegean,island,52,island in the Aegean,Place,707498,33.257783191954,35.032265695763,,,,,,,,,,,,
8194710,🌍 Troy (Troad) city in the Troad,city,759,city in the Troad,Place,550595,26.238458622673,39.957432784414,,,,,,,,,,,,
8194525,🌍 Camicos (Sicily) city in Sicily,city,11,city in Sicily,Place,465929,13.932017688867,37.64329684051,8254007,🌍 Sicily (island) island near Italy,462492,"13.932017688867, 37.64329684051",,,,,,,,
8194366,🌍 Apia (alt. Peloponnese) alternative name for the Peloponnese,region,5,alternative name for the Peloponnese,Place,,,,,,,,,,,,8194371,🌍 the Peloponnese region of southern Greece,570577,"22.0476752, 37.1093356"
8189938,🌍 Marathon (Attica) deme in Attica,deme,38,deme in Attica,Place,580021,23.970146000000003,38.1465515,11308182,"🌍 Tetrapolis (Attica) area in northeastern Attica that included the cities of Marathon, Probalinthos, Tricorythos, and Oenoe.",580117,"23.875, 38.125",,,,,,,,
8188813,🌍 the Megarid region in mainland Greece,region,12,region in mainland Greece,Place,570470,23.25,37.75,,,,,,,,,,,,
8188812,🌍 Corinth (Argolid) city in the Argolid,city,146,city in the Argolid,Place,570182,22.880841392507,37.906329164397,,,,,,,,,,,,
10785215,🏛️ the Tomb of Orpheus (Mt Olympos),tomb,2,,Landmark,,22.528396,40.037748,10055563,🌍 Leibethra (Macedonia) city in Macedonia,491650,"22.528396, 40.037748",,,,,,,,
10270788,🌍 River Aidoneus (Troad),river,1,,Place,550416,26.750000000000004,39.75,,,,,,,,,,,,
10215572,🏛️ Spring Arene (Elis) near Lepreon,spring,1,near Lepreon,Landmark,573113,21.7251305,37.4400321,,,,,,,,,,,,
10214620,🏛️ the Tomb of Oicles (Arcadia) in Arcadia,tomb,1,in Arcadia,Landmark,,22.265891,37.549491,,,,,10137148,🌍 Mainalos (Arcadia) city in Arcadia,570451,"22.265891, 37.549491",,,,
10152170,🏛️ Spring Arne (Arcadia) in Arcadia,spring,3,in Arcadia,Landmark,,22.3925775,37.6173785,,,,,9364225,🌍 Mantineia (Arcadia) city in Arcadia,570459,"22.3925775, 37.6173785",,,,
10146589,🏛️ Spring Messeis (unlocatable) unlocatable landmark,spring,4,unlocatable landmark,Landmark,,,,,,,,,,,,,,,
9369036,🌍 the Argolid region in the Peloponnese,region,52,region in the Peloponnese,Place,570104,22.893213598441,37.597560321264,,,,,,,,,,,,
9358745,🌍 Epeiros (N. Greece) region in northern Greece,region,22,region in northern Greece,Place,530871,20.787702141128,39.546484016624,,,,,,,,,,,,
9357002,🌍 Oinoe (Argolid) city in the Argolid,city,5,city in the Argolid,Place,570518,22.75,37.75,,,,,,,,,,,,
9356955,🌍 Messene (Messenia) city in Messenia,city,4,city in Messenia,Place,570479,21.920439,37.175491,,,,,,,,,,,,
9055627,🌍 Thessaly region in northern Greece,region,95,region in northern Greece,Place,1332,22.2,39.6,,,,,,,,,,,,
9055617,"🌍 Phthia (Thessaly) homeland of the Myrmidons, kingdom of Peleus",region,51,"homeland of the Myrmidons, kingdom of Peleus",Place,541052,22.6337672,38.8678937,,,,,,,,,,,,
9055278,🌍 Chios (island) island in the Aegean,island,24,island in the Aegean,Place,550497,26.052999999999997,38.414,,,,,,,,,,,,
9055231,🌍 Delos (island) sanctuary of Apollo on island in the Aegean,island,111,sanctuary of Apollo on island in the Aegean,Place,599588,25.270238900512,37.392022210974,,,,,,,,,,,,
9051539,🌍 Cape Caphereus (Euboia) promontory on Euboia,cape,10,promontory on Euboia,Place,540852,24.5868885,38.1587935,8195202,🌍 Euboia (island) island near the Greek mainland,540775,"23.87, 38.53",,,,,,,,
8254154,🌍 Gortyna (Crete) city in Crete,city,9,city in Crete,Place,589796,24.946943,35.062107,8188818,🌍 Crete (island) island in the Aegean,589748,"24.984579005240004, 35.219518451031",,,,,,,,
8254131,🌍 Samos (island) island in the Aegean Sea,island,33,island in the Aegean Sea,Place,599926,26.84,37.73,,,,,,,,,,,,
8254130,🌍 Phlious (Argolid) city in the Argolid,city,26,city in the Argolid,Place,570602,22.646579425559,37.844598395526,,,,,,,,,,,,
8254030,🌍 Thesprotia region in northern Greece,region,30,region in northern Greece,Place,531117,20.789351070564,39.517242008312,,,,,,,,,,,,
8254022,🌍 Colchis (Pontos) region on the Black Sea,region,108,region on the Black Sea,Place,863770,42.5,42.5,,,,,,,,,,,,
8254016,🌍 Troizen (Argolid) city in the Argolid,city,100,city in the Argolid,Place,570756,23.362444,37.496395,,,,,,,,,,,,
8254007,🌍 Sicily (island) island near Italy,island,45,island near Italy,Place,462492,13.932017688867,37.64329684051,,,,,,,,,,,,
8253995,🌍 Themiscyra (Pontos) city and territory of the Amazons,city,23,city and territory of the Amazons,Place,857350,36.967737,41.215176,,,,,,,,,,,,
8253992,🌍 River Thermodon (Pontos) river south of the Black Sea,river,11,river south of the Black Sea,Place,857352,36.9424975,41.1939559,,,,,,,,,,,,
8253978,🌍 Psophis (Arcadia) city in Arcadia,city,23,city in Arcadia,Place,570638,21.892903,37.871725,,,,,,,,,,,,
8253977,🌍 River Ladon (Arcadia) river in Arcadia,river,10,river in Arcadia,Place,570409,,,,,,,,,,,,,,
8253971,🌍 Nemea (Argolid) city in the Argolid,city,44,city in the Argolid,Place,570504,22.7108171,37.808904,,,,,,,,,,,,
8253960,🌍 Thebes (Boiotia) city in Boiotia,city,545,city in Boiotia,Place,541138,23.317577,38.319156,,,,,,,,,,,,
8253957,🌍 the Echinades (islands) islands in the Ionian Sea,islands,18,islands in the Ionian Sea,Place,530852,21.14824,38.32248,,,,,,,,,,,,
8253954,🌍 Lerna (Argolid) city in the Argolid,city,16,city in the Argolid,Place,570424,22.7183258,37.5512409,,,,,,,,,,,,
8253950,🌍 Memphis (Egypt) city in Egypt,city,5,city in Egypt,Place,736963,31.255061,29.849490999999997,,,,,,,,,,,,
8253942,🌍 Illyria region north of the Greek mainland,region,8,region north of the Greek mainland,Place,481866,19.5,41.5,,,,,,,,,,,,
8228902,🌍 Tricca (Thessaly) city in Thessaly,city,5,city in Thessaly,Place,541163,21.782998,39.568904,,,,,,,,,,,,
8228879,"🌍 Rhodes (island) island in the Aegean, near coast of Asia Minor",island,34,"island in the Aegean, near coast of Asia Minor",Place,590031,27.964125,36.195597,,,,,,,,,,,,
8228872,🌍 Cephallenia (island) island in the Ionian Sea,island,25,island in the Ionian Sea,Place,530826,20.59,38.2,,,,,,,,,,,,
8228863,🌍 Arcadia region in the Peloponnese,region,201,region in the Peloponnese,Place,570102,22.170246015828,37.618170124636,,,,,,,,,,,,
8195202,🌍 Euboia (island) island near the Greek mainland,island,49,island near the Greek mainland,Place,540775,23.87,38.53,,,,,,,,,,,,
8195200,🌍 Phocis region on the Greek mainland,region,45,region on the Greek mainland,Place,541048,22.8395385,38.5380277,,,,,,,,,,,,
8195188,🌍 Caria (Asia Minor) region in Asia Minor,region,27,region in Asia Minor,Place,599564,27.420201,37.042901,,,,,,,,,,,,
8195179,🌍 Larissa (Thessaly) city in Thessaly,city,15,city in Thessaly,Place,540904,22.838629,38.964328,,,,,,,,,,,,
8195135,🌍 Clazomenai (Ionia) city in Ionia,city,7,city in Ionia,Place,550650,26.77774005,38.36785825,,,,,,,,,,,,
8195129,🌍 Phocaia (Ionia) city in Ionia,city,9,city in Ionia,Place,550823,26.754884,38.6703265,,,,,,,,,,,,
8195127,🌍 Lesbos (island) island in the Aegean Sea,island,25,island in the Aegean Sea,Place,550696,26.250159394100002,39.169017071599,,,,,,,,,,,,
8194742,🌍 Aulis (Boiotia) city in Boiotia,city,49,city in Boiotia,Place,579889,23.5936545,38.4302595,,,,,,,,,,,,
8194546,🌍 Cythera (island) island in the Aegean Sea,island,11,island in the Aegean Sea,Place,570186,22.982942801468,36.24001223139,,,,,,,,,,,,
8194536,🌍 Aitolia region in mainland Greece,region,95,region in mainland Greece,Place,540591,21.8349254,38.46821195,,,,,,,,,,,,
8194522,🌍 the Icarian Sea sea in the eastern Aegean,sea,19,sea in the eastern Aegean,Place,599668,26.333333,37.5,,,,,,,,,,,,
8194382,🌍 Mycenae (Argolid) city in the Argolid,city,126,city in the Argolid,Place,570491,22.7540710459,37.73003457114,,,,,,,,,,,,
8194361,🌍 River Oceanos (unlocatable) river encircling the world,river,59,river encircling the world,Place,,,,,,,,,,,,,,,
8194337,🌍 Pisa (Elis) city in Elis,city,51,city in Elis,Place,570612,21.653041,37.639535,,,,,,,,,,,,
8190499,🌍 the Areiopagos (Athens) at Athens,landmark,22,at Athens,Place,969121823,23.723371987661,37.972372105112,8188815,🌍 Athens (Attica) city in Attica,579885,"23.726268222012, 37.972453602957",,,,,,,,
8188820,🌍 Lemnos (island) island in the Aegean Sea,island,66,island in the Aegean Sea,Place,550693,25.249999999999996,39.916667,,,,,,,,,,,,
8188816,🌍 Epidauros (Argolid) city in the Argolid,city,26,city in the Argolid,Place,570228,23.16015635,37.6334625,,,,,,,,,,,,
8188815,🌍 Athens (Attica) city in Attica,city,427,city in Attica,Place,579885,23.726268222012,37.972453602957,,,,,,,,,,,,
8188810,🌍 Crommyon (Argolid) city in the Argolid,city,11,city in the Argolid,Place,570386,23.116657,37.95001,,,,,,,,,,,,
11293240,🏛️ the Palm Tree (Delos) seen by Odysseus,tree,8,seen by Odysseus,Landmark,,25.270238900512,37.392022210974,9055231,🌍 Delos (island) sanctuary of Apollo on island in the Aegean,599588,"25.270238900512, 37.392022210974",,,,,,,,
11292670,🏛️ Spring Potniai (Boiotia),spring,2,,Landmark,,23.311633,38.29991,10149832,🌍 Potniai (Boiotia) town near Thebes,541070,"23.311633, 38.29991",,,,,,,,
11291930,🏛️ the Tomb of the Sons of Niobe (Thebes),tomb,3,,Landmark,,23.317577,38.319156,8253960,🌍 Thebes (Boiotia) city in Boiotia,541138,"23.317577, 38.319156",,,,,,,,
11289334,"🏛️ the Temple of Athena Apaturia (Argolid) on Sacred Island, near Troizen",temple,2,"on Sacred Island, near Troizen",Landmark,,,,,,,,10214871,🌍 Sacred Island (Argolid) island off Troizen in the Argolid,573531,,,,,
11289310,🏛️ the Tomb of Saron (Argolid),tomb,1,,Landmark,,,,10192739,🌍 the Sanctuary of Saronian Artemis near Troizen (Argolid),,,,,,,,,,
11289161,🏛️ the Tomb of the Soldiers of Acrisios and Proitos (Argolid),tomb,1,,Landmark,,,,,,,,11289159,🏛️ the Pyramid-shaped Building (Argolid) on the route from Argos to Epidauros,,,,,,
11289159,🏛️ the Pyramid-shaped Building (Argolid) on the route from Argos to Epidauros,building,2,on the route from Argos to Epidauros,Landmark,,22.893213598441,37.597560321264,,,,,9369036,🌍 the Argolid region in the Peloponnese,570104,"22.893213598441, 37.597560321264",,,,
11289103,🏛️ the Tomb of Hyrnetho (Epidauros),tomb,2,,Landmark,,,,10187002,🌍 the Sanctuary of Hyrnetho at Epidauros,,,,,,,,,,
11289096,🏛️ the Tomb of Sthenelos (Argos),tomb,1,,Landmark,,,,11289092,🏛️ the Gymnasium of Cylarabis at Argos,,,,,,,,,,
11289095,🏛️ the Tomb of Cylarabis (Argos),tomb,1,,Landmark,,,,11289092,🏛️ the Gymnasium of Cylarabis at Argos,,,,,,,,,,
11289063,🏛️ the Tomb of Prometheus (Opountian Locris),tomb,1,,Landmark,,22.977532395635,38.68431891071,8195194,"🌍 Opountian Locris region on the Greek mainland, facing Euboia",540918,"22.977532395635, 38.68431891071",,,,,,,,
11289038,🏛️ the Tomb of Thyestes (Argolid) near Mycenae,tomb,1,near Mycenae,Landmark,,22.7540710459,37.73003457114,,,,,8194382,🌍 Mycenae (Argolid) city in the Argolid,570491,"22.7540710459, 37.73003457114",,,,
11288964,🏛️ the House of Prophecy (Phlious) where Amphiaraos slept and became a prophet,house,2,where Amphiaraos slept and became a prophet,Landmark,,22.646579425559,37.844598395526,8254130,🌍 Phlious (Argolid) city in the Argolid,570602,"22.646579425559, 37.844598395526",,,,,,,,
11288870,🏛️ the Pine Tree of Sinis (Argolid) used by Sinis to kill passers-by,tree,7,used by Sinis to kill passers-by,Landmark,,23.116657,37.95001,,,,,8188810,🌍 Crommyon (Argolid) city in the Argolid,570386,"23.116657, 37.95001",,,,
11288855,🏛️ the Spring of Seilenos (Pyrrhichos),spring,2,,Landmark,,22.432959,36.659054,10149939,🌍 Pyrrhichos (Laconia) city in Laconia,570642,"22.432959, 36.659054",,,,,,,,
11288847,"🏛️ the Spring of Atalante (Cyphanta) in Laconia, created by Atalante",spring,1,"in Laconia, created by Atalante",Landmark,,22.989822,36.961993,10149882,🌍 Cyphanta (Laconia) city in Laconia,570398,"22.989822, 36.961993",,,,,,,,
11259179,🏛️ the Stable of the Horses of Oinomaos (Olympia),stable,2,,Landmark,,21.630874780357,37.638689420584,9605463,🌍 Olympia (Elis) home of the Olympic Games,570531,"21.630874780357, 37.638689420584",,,,,,,,
11188232,🏛️ the Tomb of Ischepolis (Megara),tomb,1,,Landmark,,,,10191923,🏛️ the Prytaneion (Megara),,,,,,,,,,
11188231,🏛️ the Tomb of Euippos (Megara),tomb,1,,Landmark,,,,10191923,🏛️ the Prytaneion (Megara),,,,,,,,,,
11188228,🏛️ the Tomb of Adrastos (Megara),tomb,1,,Landmark,,23.340163,37.985078,9619397,🌍 Megara (Argolid) city on the Attica-Argolid border,570468,"23.340163, 37.985078",,,,,,,,
11158136,🏛️ the Tomb of Ino (Megara),tomb,1,,Landmark,,23.340163,37.985078,9619397,🌍 Megara (Argolid) city on the Attica-Argolid border,570468,"23.340163, 37.985078",,,,,,,,
11126369,🏛️ the First Wall of Megara destroyed by Minos,wall,1,destroyed by Minos,Landmark,,23.340163,37.985078,9619397,🌍 Megara (Argolid) city on the Attica-Argolid border,570468,"23.340163, 37.985078",,,,,,,,
11126361,🏛️ the Spring of the Sithniad Nymphs (Megara) spring and waterway at Megara,spring,1,spring and waterway at Megara,Landmark,,23.340163,37.985078,9619397,🌍 Megara (Argolid) city on the Attica-Argolid border,570468,"23.340163, 37.985078",,,,,,,,
11066685,"🏛️ Anthion Well (Eleusis) well associated with Demeter near Eleusis, on the road towards Megara",well,1,"well associated with Demeter near Eleusis, on the road towards Megara",Landmark,,23.537401,38.041101,8188814,🌍 Eleusis (Attica) city in Attica,579920,"23.537401, 38.041101",,,,,,,,
11066677,🏛️ the Threshing Floor of Triptolemos (Eleusis),landmark,1,,Landmark,,23.537401,38.041101,8188814,🌍 Eleusis (Attica) city in Attica,579920,"23.537401, 38.041101",,,,,,,,
11024136,🏛️ the Seat of Seilenos (Athens),landmark,1,,Landmark,,23.726166,37.971421,8188821,🌍 the Acropolis of Athens,638356144,"23.726166, 37.971421",,,,,,,,
11007026,🏛️ the Tomb of Antiope (Athens),tomb,1,,Landmark,,23.726268222012,37.972453602957,8188815,🌍 Athens (Attica) city in Attica,579885,"23.726268222012, 37.972453602957",,,,,,,,
11003479,"🏛️ the Tomb of Iphigeneia (Megara) the daughter of Agamemnon, whom the Megarians claim died here",tomb,1,"the daughter of Agamemnon, whom the Megarians claim died here",Landmark,,23.340163,37.985078,9619397,🌍 Megara (Argolid) city on the Attica-Argolid border,570468,"23.340163, 37.985078",,,,,,,,
11003272,🏛️ the Bridge of Dionysos (Euphrates),bridge,2,,Landmark,,,,,,,,10273489,🌍 the Plain of Zeugma region near the Euphrates River,662226,,,,,
10786033,🏛️ the Tomb of Arcesilaos (Lebadeia),tomb,2,,Landmark,,22.8749615,38.4353745,10159947,🌍 Lebadeia (Boiotia) city in Boiotia,540907,"22.8749615, 38.4353745",,,,,,,,
10785784,🏛️ the Tomb of Minyas (Boiotian Orchomenos),tomb,1,,Landmark,,22.978315,38.494575333333,8253969,🌍 Orchomenos (Boiotia) city in Boiotia,540987,"22.978315, 38.494575333333",,,,,,,,
10785752,🏛️ the Treasury of Minyas (Orchomenos),treasury,3,,Landmark,,22.978315,38.494575333333,8253969,🌍 Orchomenos (Boiotia) city in Boiotia,540987,"22.978315, 38.494575333333",,,,,,,,
10785744,"🏛️ the Tomb of Oedipus (Athens) in the Sanctuary of the Semnai, Athens",tomb,2,"in the Sanctuary of the Semnai, Athens",Landmark,,,,10158460,🌍 the Sanctuary of the Semnai at Athens on the Areiopagos,,,,,,,,,,
10785221,🏛️ the Spring of Narcissos (Boiotia),spring,14,,Landmark,,23.101469,38.272393,10268815,🌍 Donacon (Boiotia) town in Boiotia,540738,"23.101469, 38.272393",,,,,,,,
10784751,"🏛️ the Tomb of Orpheus (Mt Pieria) in Macedonia, near Dion",tomb,3,"in Macedonia, near Dion",Landmark,,22.4247924913,40.130028116,10267623,🌍 Mount Pieria (N. Greece),,"22.4247924913, 40.130028116",,,,,,,,
10773515,🏛️ the Tomb of the Epigonoi (Glisas) in Boiotia,tomb,1,in Boiotia,Landmark,,23.390503,38.378178,9651957,🌍 Glisas (Boiotia) city in Boiotia,540791,"23.390503, 38.378178",,,,,,,,
10772037,🏛️ the Observatory of Teiresias (Thebes) where Teiresias observed the flight of birds,landmark,3,where Teiresias observed the flight of birds,Landmark,,,,10158519,🌍 the Citadel of Thebes (Boiotia) at Thebes in Boiotia,,,,,,,,,,
10771996,🏛️ the Seat of Manto (Thebes) at the Sanctuary of Ismenian Apollo,landmark,1,at the Sanctuary of Ismenian Apollo,Landmark,,,,10771991,🌍 the Sanctuary of Ismenian Apollo at Thebes,,,,,,,,,,
10771889,🏛️ the Prytaneion (Athens),landmark,4,,Landmark,720198157,23.7225,37.975,8188815,🌍 Athens (Attica) city in Attica,579885,"23.726268222012, 37.972453602957",,,,,,,,
10771865,🏛️ the Tomb of Leitos (Plataia),tomb,1,,Landmark,,23.271847333333,38.215730333333,9613099,🌍 Plataia (Boiotia) city in Boiotia,541063,"23.271847333333, 38.215730333333",,,,,,,,
10769988,🏛️ the Bed of Actaion (Mt Cithairon),landmark,1,,Landmark,,23.2505528,38.1850025,8253966,🌍 Mount Cithairon (Attica/Boiotia) mountain on Boiotia-Attica border,540714,"23.2505528, 38.1850025",,,,,,,,
10526317,🏛️ the Laurel Tree (Antioch),tree,1,,Landmark,,36.183214,36.2225515,10210691,🌍 Antioch on Orontes (Assyria) in Assyria,658381,"36.183214, 36.2225515",,,,,,,,
10526315,🏛️ the Olive Tree (Delos),tree,8,,Landmark,,25.270238900512,37.392022210974,9055231,🌍 Delos (island) sanctuary of Apollo on island in the Aegean,599588,"25.270238900512, 37.392022210974",,,,,,,,
10526312,🏛️ the Lygos Tree (Samos) in the Sanctuary of Hera,tree,1,in the Sanctuary of Hera,Landmark,,26.885889352396,37.671923788148,10270721,🌍 the Sanctuary of Hera at Samos,599641,"26.885889352396, 37.671923788148",,,,,,,,
10526308,🏛️ the Plane Tree (Caphyai) planted by Menelaos in Arcadia,tree,2,planted by Menelaos in Arcadia,Landmark,,22.262624,37.766264,10214249,🌍 Caphyai (Arcadia) city in Arcadia,570329,"22.262624, 37.766264",,,,,,,,
10434376,🏛️ the Tomb of Attis (Mt Agdistis),tomb,1,,Landmark,,30.714940000000002,39.198474,10126128,🌍 Mount Agdistis (Asia Minor) mountain near Pessinous,,"30.714940000000002, 39.198474",,,,,,,,
10380213,🏛️ the Tomb of Molpadia (Athens) in Athens,tomb,1,in Athens,Landmark,,23.726268222012,37.972453602957,8188815,🌍 Athens (Attica) city in Attica,579885,"23.726268222012, 37.972453602957",,,,,,,,
10274747,🏛️ the Tomb of Andraimon and Gorge (Amphissa) in Amphissa,tomb,1,in Amphissa,Landmark,,22.374172,38.518403,10274739,🌍 Amphissa (Ozolian Locris) city in Ozolian Locris,540630,"22.374172, 38.518403",,,,,,,,
10274745,🏛️ the Tomb of Amphissa (Amphissa) in Amphissa,tomb,1,in Amphissa,Landmark,,22.374172,38.518403,10274739,🌍 Amphissa (Ozolian Locris) city in Ozolian Locris,540630,"22.374172, 38.518403",,,,,,,,
10274722,🏛️ the Tomb of Schedios and Epistrophos (Anticyra) at Anticyra,tomb,1,at Anticyra,Landmark,,22.626059,38.375439,10274703,🌍 Anticyra (Phocis) city in Phocis,540642,"22.626059, 38.375439",,,,,,,,
10274691,🏛️ the Tomb of Elatos (Elateia) at Elateia,tomb,1,at Elateia,Landmark,,22.7658245,38.629841,10146542,🌍 Elateia (Phocis) city in Phocis,540755,"22.7658245, 38.629841",,,,,,,,
10274627,"🏛️ the Tomb of Memnon (Hellespont) on the Hellespont, probably near the River Aisepos",tomb,2,"on the Hellespont, probably near the River Aisepos",Landmark,,27.750000000000004,40.25,,,,,9718653,🌍 River Aisepos (Asia Minor) river in Asia Minor,511141,"27.750000000000004, 40.25",,,,
10274614,🏛️ the Tomb of Antiope and Phocos (Tithorea),tomb,2,,Landmark,,22.673318,38.5817245,10153163,🌍 Tithorea (Phocis) city in Phocis,541152,"22.673318, 38.5817245",,,,,,,,
10274414,🏛️ the Tomb of Aigyptos (Patrai),tomb,1,,Landmark,,21.735631,38.247847,10127953,🌍 Patrai (Achaia) city in Achaia,570567,"21.735631, 38.247847",,,,,,,,
10274396,🏛️ the Tomb of Preugenes (Patrai) in Patrai,tomb,1,in Patrai,Landmark,,21.735631,38.247847,10127953,🌍 Patrai (Achaia) city in Achaia,570567,"21.735631, 38.247847",,,,,,,,
10274389,🏛️ the Tomb of Patreus (Patrai) in the market of Patrai,tomb,1,in the market of Patrai,Landmark,,21.735631,38.247847,10127953,🌍 Patrai (Achaia) city in Achaia,570567,"21.735631, 38.247847",,,,,,,,
10274278,🏛️ the Tomb of Eurypylos (Patrai),tomb,1,,Landmark,,21.735631,38.247847,10127953,🌍 Patrai (Achaia) city in Achaia,570567,"21.735631, 38.247847",,,,,,,,
10274108,🏛️ the Palace of Priam (Troy) at Troy,palace,3,at Troy,Landmark,,,,8195108,🌍 the Citadel of Troy at Troy,,,,,,,,,,
10274104,"🏛️ the Tomb of Mygdon (Stectorion) in Phrygia, at Stectorion",tomb,1,"in Phrygia, at Stectorion",Landmark,,30.148649,38.3323615,10274103,🌍 Stectorion (Phrygia) city in Phrygia,609535,"30.148649, 38.3323615",,,,,,,,
10273428,"🏛️ the Pit of Agamedes (Lebadeia) at Lebadeia, swallows Trophonios",pit,1,"at Lebadeia, swallows Trophonios",Landmark,,22.8749615,38.4353745,10159947,🌍 Lebadeia (Boiotia) city in Boiotia,540907,"22.8749615, 38.4353745",,,,,,,,
10272581,🏛️ the Tomb of Sostratos (Dyme) located outside of Dyme,tomb,1,located outside of Dyme,Landmark,,21.551425,38.144625,10082237,🌍 Dyme (Achaia) city in Achaia,570205,"21.551425, 38.144625",,,,,,,,
10272471,🏛️ the House of Carmanor (Tarra) on Crete,house,1,on Crete,Landmark,,23.970017,35.236215,10272470,🌍 Tarra (Crete) city on Crete,590072,"23.970017, 35.236215",,,,,,,,
10272272,🏛️ the Tomb of Rhadine and Leontichos (Samos),tomb,1,,Landmark,,26.885889352396,37.671923788148,,,,,10270721,🌍 the Sanctuary of Hera at Samos,599641,"26.885889352396, 37.671923788148",,,,
10272270,🏛️ the Tomb of Oinopion (Chios) on Chios,tomb,1,on Chios,Landmark,,26.052999999999997,38.414,,,,,9055278,🌍 Chios (island) island in the Aegean,550497,"26.052999999999997, 38.414",,,,
10270831,🏛️ the Castalian Spring (Delphi),spring,11,,Landmark,203037083,22.505528,38.483082,8253972,"🌍 Delphi (Phocis) city and sanctuary in Phocis; for prophecies see ""the Oracle of Apollo (Delphi)""",540726,"22.501169, 38.482289",,,,,,,,
10270808,🏛️ the Tomb of Hierophile (Troad) at the sanctuary of Apollo Smintheus,tomb,1,at the sanctuary of Apollo Smintheus,Landmark,,26.117741495284,39.536207099825,10991032,🏛️ the Temple of Apollo Smintheus at Sminthe (Troad),550892,"26.117741495284, 39.536207099825",,,,,,,,
10269073,"🏛️ the Tomb of Laios (Phocis) in Phocis, at the Split Road",tomb,2,"in Phocis, at the Split Road",Landmark,,,,10269069,"🏛️ the Split Road (Phocis) in Phocis, where Oedipus kills Laios",,,,,,,,,,
10269065,"🏛️ the Tomb of the Founder (Tronis) at Tronis, near Daulis in Phocis",tomb,3,"at Tronis, near Daulis in Phocis",Landmark,,22.704926,38.554265,10269165,🌍 Tronis (Phocis) city in Phocis,541015,"22.704926, 38.554265",,,,,,,,
10269047,🏛️ the Tomb of Tityos (Panopeus) at Panopeus,tomb,1,at Panopeus,Landmark,,22.794320600219,38.495291150315,9688203,🌍 Panopeus (Phocis) city in Phocis,541008,"22.794320600219, 38.495291150315",,,,,,,,
10268980,🏛️ the Tomb of Oxylos (Elis),tomb,1,,Landmark,,21.375091,37.891781,9614046,🌍 Elis (city) city in Elis,570220,"21.375091, 37.891781",,,,,,,,
10268907,🏛️ the Tomb of the Suitors of Hippodameia (Harpina) near Harpina,tomb,3,near Harpina,Landmark,,21.674729,37.648791,,,,,10268892,🌍 Harpina (Elis) city in Elis,570278,"21.674729, 37.648791",,,,
